Date,Added,Removed,Reason,,,,,
03/12/19,2015,SWKS,Skyworks Solutions Inc.,PETM,PetSmart Inc.,PetSmart acquired by private equity consortium[94],,
01/27/19,2015,HCA,HCA Holdings,SWY,Safeway Inc,Safeway acquired by private equity consortium[95],,
01/27/19,2015,ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic[96],,
12/05/19,2014,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market cap changes[97],,
11/05/19,2014,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market cap changes[98],,
09/20/19,2014,URI,United Rentals,BTU,Peabody Energy,Market cap changes[99],,
UHS,Universal Health Services,GHC,Graham Holdings,,,,,
08/18/19,2014,MNK,Mallinckrodt Plc,RDC,Rowan Companies plc,Market cap changes[100],,
08/06/19,2014,DISCK,Discovery Communications,,,Class C share distribution[101],,
07/02/19,2014,MLM,Martin Marietta Materials,X,United States Steel Corporation,Market capitalization changes[102],,
07/01/19,2014,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[103],,
06/20/19,2014,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes[104],,
05/08/19,2014,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquires LSI[105],,
05/01/19,2014,UA,Under Armour,BEAM,Beam Inc.,Beam acquired by Suntory[106],,
05/01/19,2014,NAVI,Navient,SLM,SLM Corporation,Navient Spun off from SLM[106],,
04/03/19,2014,GOOGL,Google Inc.,,,Google Class C share distribution[107],,
04/02/19,2014,ESS,Essex Property Trust Inc,CLF,Cliffs Natural Resources,Market capitalization changes[108],,
03/21/19,2014,GMCR,Keurig Green Mountain,WPX,WPX Energy, Inc.,Market capitalization changes[109],
01/24/19,2014,TSCO,Tractor Supply Company,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[110],,
12/23/19,2013,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes[111],,
MHK,Mohawk Industries,JDSU,JDS Uniphase,,,,,
FB,Facebook,TER,Teradyne,,,,,
12/10/19,2013,GGP,General Growth Properties,MOLX,Molex Inc.,MOLX acquired by Koch Industries.[112],,
12/02/19,2013,ALLE,Allegion,JCP,J.C. Penney,Allegion spun off by Ingersoll Rand[113],,
11/13/19,2013,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext[114],,
10/29/19,2013,RIG,Transocean,DELL,Dell, Inc.,Founder Michael Dell and Silver Lake Partners acquired Dell.[115],
